Date From,Date To,Name,Venue,Country,Category,Calendar,Class,EMail,Website
3/22/2025,3/22/2025,Milano-Sanremo,,ITA,ME,UWT,1.UWT,stefano.allocchio@rcs.it,www.milanosanremo.it
3/22/2025,3/23/2025,Guido Reybrouck Classic,,BEL,MJ,EUR,2.1,info@guidoreybrouckclassic.be,www.guidoreybrouckclassic.be
3/23/2025,3/23/2025,Grand Prix Apollon Temple,,TUR,ME,EUR,1.2,info@bisiklet.gov.tr,www.bisiklet.gov.tr
3/23/2025,3/23/2025,Bernaudeau Junior,,FRA,MJ,EUR,1.1,frederic.gauvrit@outlook.com,https://labernaudeaujunior.jimdofree.com/
3/23/2025,3/23/2025,GP Slovenian Istria,,SLO,ME,EUR,1.2,kzs@kolesarska-zveza.si,www.kolesarska-zveza.si
3/23/2025,3/23/2025,Classica da Arrabida - Cyclin'Portugal,,POR,ME,EUR,1.2,geral@fpciclismo.pt,www.fpciclismo.pt
3/23/2025,3/23/2025,Cholet Agglo Tour,,FRA,ME,EUR,1.1,choletagglotour@choletevenements.fr,https://www.choletagglotour.fr/
3/23/2025,3/23/2025,Midwest Cycling Classic,,BEL,WE,EUR,1.2,krisspiesschaert@hotmail.com,
3/24/2025,3/29/2025,The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand 2025,,THA,ME,ASI,2.1,taca1959@yahoo.com,www.thaicycling.or.th
3/24/2025,3/30/2025,Volta Ciclista a Catalunya,,ESP,ME,UWT,2.UWT,volta@voltacatalunya.cat,www.voltacatalunya.cat
3/25/2025,3/29/2025,Settimana Internazionale Coppi e Bartali,,ITA,ME,EUR,2.1,gsemiliaciclismo@tin.it,www.gsemilia.it
3/26/2025,3/26/2025,Classic Brugge-De Panne,,BEL,ME,UWT,1.UWT,secretariaat@kvcps.be,www.bruggedepanneclassic.be
3/26/2025,3/30/2025,Volta ao Alentejo,,POR,ME,EUR,2.2,geral@podi1.com,www.podi1.com
3/26/2025,3/30/2025,Olympia's Tour,,NED,ME,EUR,2.2,thijs.rondhuis@courage-events.nl,www.olympiastour.com
3/27/2025,3/27/2025,Classic Brugge-De Panne,,BEL,WE,MON,1.WWT,secretariaat@kvcps.be,www.bruggedepanneclassic.be
3/27/2025,3/27/2025,GP Brda-Collio,,SLO,ME,EUR,1.2,cycling@meblojogi.si,
3/28/2025,3/28/2025,E3 Saxo Classic,,BEL,MJ,EUR,1.Ncup,info@e3saxoclassic.be,www.e3saxoclassic.be
3/28/2025,3/28/2025,E3 Saxo Classic,,BEL,ME,UWT,1.UWT,info@e3saxoclassic.be,www.e3saxoclassic.be
3/29/2025,3/30/2025,Tour du Bocage et de l'Ernée 53,,FRA,MJ,EUR,2.1,gerardcouge@orange.fr,tourbocageernee53.sportsregions.fr
3/30/2025,3/30/2025,Gent-Wevelgem in Flanders Fields,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.gent-wevelgem.be
3/30/2025,3/30/2025,I feel Slovenia VN Adria Mobil,,SLO,ME,EUR,1.2,info@adriamobilcycling.com,www.adria-mobil-cycling.com/sl
3/30/2025,3/30/2025,Gent-Wevelgem In Flanders Fields,,BEL,WE,MON,1.WWT,maja.leye@flandersclassics.be,www.gent-wevelgem.be
3/30/2025,3/30/2025,La Roue Tourangelle Centre Val de Loire - Groupama P.V.L.,,FRA,ME,EUR,1.1,touraine-evenement-sport@orange.fr,www.larouetourangelle.com
3/30/2025,3/30/2025,G.P. Emilia,,ITA,ME,EUR,1.1,gsemiliaciclismo@tin.it,
3/31/2025,4/2/2025,The Princess Maha Chakri Sirindhorn's Cup Women's Tour of Thailand,,THA,WE,ASI,2.2,taca1959@yahoo.com,www.thaicycling.or.th
4/2/2025,4/2/2025,Dwars door Vlaanderen - A travers la Flandre,,BEL,ME,UWT,1.UWT,info@ddvl.eu,www.ddvl.eu
4/2/2025,4/2/2025,Paris - Camembert,,FRA,ME,EUR,1.1,copc61@orange.fr,paris-camembert.ifrance.com
4/2/2025,4/2/2025,Dwars Door Vlaanderen / A Travers la Flandre,,BEL,WE,EUR,1.Pro,info@dwarsdoorvlaanderen.be,www.dwarsdoorvlaanderen.be
4/2/2025,4/6/2025,ΔΕΗ Ιnternational Tour of Hellas,,GRE,ME,EUR,2.1,cycling.tour.of.hellas@gmail.com,https://www.hellas-tour.gr/portal/en/
4/2/2025,4/7/2025,Tour El Salvador,,ESA,WE,AME,2.2,h.rivas@touresa.com,
4/4/2025,4/4/2025,La Route Adélie de VItré,,FRA,ME,EUR,1.1,alain.ramir@orange.fr,www.routeadelievitre.fr
4/4/2025,4/6/2025,Internationale Cottbuser Junioren-Etappenfahrt,,GER,MJ,EUR,2.1,info@rsc-cottbus.de,www.rsc-cottbus.de
4/4/2025,4/6/2025,Jamaica International Cycling Classic,,JAM,ME,AME,2.2,info@jamaicaicc.com,www.jamaicaicc.com
4/5/2025,4/5/2025,Volta NXT Classic,,NED,WE,EUR,1.2,info@voltanxtclassic.nl,www.voltanxtclassic.nl
4/5/2025,4/5/2025,Volta NXT Classic,,NED,ME,EUR,1.1,info@voltanxtclassic.nl,www.voltalimburgclassic.nl
4/5/2025,4/5/2025,Boucle de l'Artois,,FRA,ME,EUR,1.2,julien.brianchon@orange.fr,www.boucledelartois.fr
4/5/2025,4/5/2025,Gran Premio Miguel Indurain,,ESP,ME,EUR,1.Pro,secretaria@clubciclistaestella.com,www.clubciclistaestella.com
4/6/2025,4/6/2025,Grand Prix Syedra Ancient City,,TUR,ME,EUR,1.2,info@bisiklet.gov.tr,www.bisiklet.gov.tr
4/6/2025,4/6/2025,Ronde van Vlaanderen,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.rondevanvlaanderen.be
4/6/2025,4/6/2025,Trofeo Piva,,ITA,MU,EUR,1.2U,segreteria@accolsanmartino.it,www.accolsanmartino.it
4/6/2025,4/6/2025,Ronde van Vlaanderen,,BEL,WE,MON,1.WWT,maja.leye@flandersclassics.be,www.rondevanvlaanderen.be
4/7/2025,4/11/2025,Tour of Hainan,,CHN,ME,ASI,2.Pro,tourofhainan@163.com,www.tourofhainan.com
4/7/2025,4/12/2025,Itzulia Basque Country,,ESP,ME,UWT,2.UWT,admon@oceta.eus,www.itzulia.eus
4/8/2025,4/8/2025,Grand Prix Presidente,,ESA,WE,AME,1.2,h.rivas@touresa.com,
4/8/2025,4/11/2025,Région Pays de la Loire Tour,,FRA,ME,EUR,2.1,laurentbspdrouault@gmail.com; sylviebspdrouault@gmail.com,https://www.regionpaysdelaloire-tour.fr/
4/9/2025,4/9/2025,Scheldeprijs,,BEL,ME,EUR,1.Pro,info@scheldeprijs.be,www.scheldeprijs.be
4/9/2025,4/9/2025,Région Pays de la Loire Tour - Féminin,,FRA,WE,EUR,1.2,laurentbspdrouault@gmail.com ; sylviebspdrouault@gmail.com,https://www.regionpaysdelaloire-tour.fr/
4/9/2025,4/9/2025,Scheldeprijs vrouwen elite,,BEL,WE,EUR,1.1,INFO@SCHELDEPRIJS.BE,WWW.SCHELDEPRIJS.BE
4/9/2025,4/10/2025,National Road Championships - Uzbekistan (MU/WU),,UZB,,ASI,CN,uzbcycling@gmail.com,
4/9/2025,4/13/2025,Giro Mediterraneo in Rosa,,ITA,WE,EUR,2.2,girorosa22@gmail.com,WWW.GIROMEDITERRANEOROSA.IT
4/9/2025,4/13/2025,Circuit des Ardennes,,FRA,ME,EUR,2.2,circuitdesardennes@orange.fr,www.circuitdesardennes.fr
4/10/2025,4/13/2025,Tour of Mersin,,TUR,ME,EUR,2.2,info@bisiklet.gov.tr,www.bisiklet.gov.tr
4/12/2025,4/12/2025,Paris-Roubaix Femmes avec Zwift,,FRA,WE,MON,1.WWT,tgouvenou@aso.fr,www.letour.fr
4/12/2025,4/12/2025,Trofeu 15 d'Abril,,ESP,MJ,EUR,1.1,ciclismecanonja@tinet.cat,www.ciclisme.cat
4/12/2025,4/12/2025,Arno Wallaard Memorial,,NED,ME,EUR,1.2,info@arnowallaardmemorial.nl,www.arnowallaardmemorial.nl
4/12/2025,4/12/2025,National Road Championships - Cyprus ITT MU/WU,,CYP,,EUR,CN,ccf@cytanet.com.cy,
4/12/2025,4/20/2025,National Road Championships - United Arab Emirates,,UAE,,ASI,CN,uaecyclingfederation@gmail.com,www.uaecf.ae
4/13/2025,4/13/2025,Tr. Città di S.Vendemiano - GP Industria & Commercio,,ITA,MU,EUR,1.2U,veloclubsanvendemiano@yahoo.com; trofeocittadisanvendemiano@yahoo.com,www.veloclubsanvendemiano.it
4/13/2025,4/13/2025,Paris-Roubaix,,FRA,ME,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr
4/13/2025,4/13/2025,Paris-Roubaix Juniors,,FRA,MJ,EUR,1.Ncup,veloclubroubaix@orange.fr,asso.nordnet.fr/veloclubroubaix/
4/13/2025,4/13/2025,Ślężański Mnich - Bruki & Szutry,,POL,ME,EUR,1.2,KSSLEZA@GMAIL.COM,WWW.KSSLEZA.PL
